iso,blender_ram_mb,vram_used_mb,vram_free_mb,util
2026-07-21T13:03:50.8797349-04:00,109,178,24148,0
2026-07-21T13:03:52.9202588-04:00,1926,178,24148,0
2026-07-21T13:03:54.9548832-04:00,2002,178,24148,0
2026-07-21T13:03:57.0513271-04:00,3914,178,24148,0
2026-07-21T13:03:59.1087677-04:00,2171,178,24148,0
2026-07-21T13:04:01.1409147-04:00,2291,178,24148,0
2026-07-21T13:04:03.1733626-04:00,2392,178,24148,0
2026-07-21T13:04:05.2203892-04:00,2441,178,24148,0
2026-07-21T13:04:07.2538935-04:00,2606,178,24148,0
2026-07-21T13:04:09.2865646-04:00,2771,178,24148,0
2026-07-21T13:04:11.3229987-04:00,2935,178,24148,0
2026-07-21T13:04:13.3594099-04:00,3099,178,24148,0
2026-07-21T13:04:15.3956609-04:00,3263,178,24148,0
2026-07-21T13:04:17.4457762-04:00,3430,178,24148,0
2026-07-21T13:04:19.5094852-04:00,3819,178,24148,0
2026-07-21T13:04:21.5726529-04:00,6119,178,24148,0
2026-07-21T13:04:23.6061863-04:00,8525,178,24148,0
2026-07-21T13:04:25.6680415-04:00,13186,178,24148,0
2026-07-21T13:04:27.7324828-04:00,15162,178,24148,0
2026-07-21T13:04:29.9689125-04:00,13735,178,24148,0
2026-07-21T13:04:32.0107341-04:00,5358,178,24148,0
2026-07-21T13:04:34.0606133-04:00,7555,178,24148,0
2026-07-21T13:04:36.1198590-04:00,10650,178,24148,0
2026-07-21T13:04:38.1787421-04:00,18076,178,24148,0
2026-07-21T13:04:40.4994235-04:00,13720,178,24148,0
2026-07-21T13:04:42.5484092-04:00,5204,178,24148,0
2026-07-21T13:04:44.6013761-04:00,7458,178,24148,0
2026-07-21T13:04:46.6679000-04:00,9444,178,24148,0
2026-07-21T13:04:48.7250985-04:00,15458,178,24148,0
2026-07-21T13:04:51.1441386-04:00,13611,178,24148,0
2026-07-21T13:04:53.2054785-04:00,13254,178,24148,0
2026-07-21T13:04:55.2622049-04:00,5991,178,24148,0
2026-07-21T13:04:57.3113118-04:00,8122,178,24148,0
2026-07-21T13:04:59.3704058-04:00,12307,178,24148,0
2026-07-21T13:05:01.4346809-04:00,17294,178,24148,0
2026-07-21T13:05:03.6389956-04:00,13790,178,24148,0
2026-07-21T13:05:05.6902778-04:00,4945,178,24148,0
2026-07-21T13:05:07.7230602-04:00,7266,178,24148,0
2026-07-21T13:05:09.7588279-04:00,9625,178,24148,0
2026-07-21T13:05:11.8267389-04:00,17474,178,24148,0
2026-07-21T13:05:14.0575042-04:00,13734,178,24148,0
2026-07-21T13:05:16.1235089-04:00,7811,178,24148,0
2026-07-21T13:05:18.1709983-04:00,6489,178,24148,0
2026-07-21T13:05:20.2079900-04:00,8854,178,24148,0
2026-07-21T13:05:22.2671376-04:00,14846,178,24148,0
2026-07-21T13:05:24.5450208-04:00,13678,178,24148,0
2026-07-21T13:05:26.6462862-04:00,13652,178,24148,0
2026-07-21T13:05:28.6876552-04:00,3021,178,24148,0
2026-07-21T13:05:30.7513761-04:00,3021,178,24148,0
2026-07-21T13:05:32.7942665-04:00,3021,178,24148,0
2026-07-21T13:05:34.8416072-04:00,3021,178,24148,0
